index,HIP,common name,spectral type,measured distance_ly,source
1,13847,Acamar,Giant Star A4,163.8,https://www.universeguide.com/star/13847/acamar
2,7588,Achernar,Main Sequence B,139.4,https://www.universeguide.com/star/7588/achernar
3,3821,Achird,Main Sequence G0V SB,19.42,https://www.universeguide.com/star/3821/achird
4,78820,Acrab,Main Sequence B1V,404.,https://www.universeguide.com/star/78820/acrab
5,60718,Acrux,Spectroscopic Binary B0.5,321.8,https://www.universeguide.com/star/60718/acrux
6,44066,Acubens,A5,188.2,https://www.universeguide.com/star/44066/acubens
7,50335,Adhafera,Giant Star F0III,273.9,https://www.universeguide.com/star/50335/adhafera
8,33579,Adhara,Adhara is a Luminous Giant Star B2II,405,https://www.universeguide.com/star/33579/adhara
9,6411,Adhil,Subgiant Star K0III-IV,195,https://www.universeguide.com/star/6411/adhil
10,20889,Ain,Giant Star K0III,155,https://www.universeguide.com/star/20889/ain
11,92761,Ainalrami,Luminous Giant Star G2/K1 Ib/II + B9.2p,1124.70,https://www.universeguide.com/star/92761/nu1sagittarii
12,94481,Aladfar,Spectroscopic Binary B2.5IV,1042,https://www.universeguide.com/star/94481/aladfar
13,90004,Alasia,Main Sequence G5 V,140.65,https://www.universeguide.com/star/90004/alasia
14,94141,Albaldah,Giant Star F2II/III,440,https://www.universeguide.com/star/94141/albaldah
15,102618,Albali,Giant Star A1 V,208,https://www.universeguide.com/star/102618/albali
16,95947,Albireo,Luminous Giant Star K3II+B9.5V,400,https://www.universeguide.com/star/95947/albireo
17,59199,Alchiba,Subgiant Star F0V,48.2,https://www.universeguide.com/star/59199/alchiba
18,65477,Alcor,Main Sequence A5Vn,81.7,https://www.universeguide.com/star/65477/alcor
19,17702,Alcyone,Giant Star B7III,368,https://www.universeguide.com/star/17702/alcyone
20,21421,Aldebaran,Giant Star K5III,66.64,https://www.universeguide.com/star/21421/aldebaran
21,105199,Alderamin,Subgiant Star A8Vn,49.05,https://www.universeguide.com/star/105199/alderamin
22,108085,Al dhanab,Giant Star B8III,203,https://www.universeguide.com/star/108085/aldhanab
23,83895,Aldhibah,Giant Star B6III,340,https://www.universeguide.com/star/83895/aldhibah
24,101421,Aldulfin,Giant Star B6 III,330,https://www.universeguide.com/star/101421/denebdulfim
25,106032,Alfirk,Giant Star B2IIIv SB,595,https://www.universeguide.com/star/106032/alfirk
26,100064,Algedi,Giant Star G6/G8III,109,https://www.universeguide.com/star/100064/algiedisecunda
27,1067,Algenib,Subgiant Star B2 IV,390,https://www.universeguide.com/star/1067/algenib
28,50583,Algieba,Giant Star K0III,130,https://www.universeguide.com/star/50583/algieba
29,14576,Algol,Main Sequence B8V,92.82,https://www.universeguide.com/star/14576/algol
30,60965,Algorab,Main Sequence B9.5V,87.89,https://www.universeguide.com/star/60965/algorab
31,31681,Alhena,Spectroscopic Binary A0 IV,109,https://www.universeguide.com/star/31681/alhena
32,62956,Alioth, Variable Star A0p,81,https://www.universeguide.com/star/62956/alioth
33,102488,Aljanah,Giant Star K0 III,72.7,https://www.universeguide.com/star/102488/aljanah
34,67301,Alkaid,Main Sequence B3V SB,103.9,https://www.universeguide.com/star/67301/alkaid
35,75411,Alkalurops,Main Sequence F0V,121,https://www.universeguide.com/star/75411/alkalurops
36,44471,Alkaphrah,Main Sequence A0 IV-V + A1V,360,https://www.universeguide.com/star/44471/talithaaustralis
37,115623,Alkarab,Subgiant Star F8IV,170,https://www.universeguide.com/star/115623/upsilonpegasi
38,53740,Alkes,Giant Star K1III,141,https://www.universeguide.com/star/53740/alkes
39,23416,Almaaz,Supergiant Star F0 Iab,3300,https://www.universeguide.com/star/23416/haldus
40,9640,Almach,Spectroscopic Binary K2+IIb,390,https://www.universeguide.com/star/9640/almach
41,109268,Alnair,Subgiant Star B7IV,101,https://www.universeguide.com/star/109268/alnair
42,88635,Alnasl,Giant Star K0III,96,https://www.universeguide.com/star/88635/alnasl
43,26311,Alnilam,Supergiant Star B0Iab,1340,https://www.universeguide.com/star/26311/alnilam
44,26727,Alnitak,Supergiant Star O9 Iab,800,https://www.universeguide.com/star/26727/alnitak
45,80112,Alniyat,Giant Star B1III,734,https://www.universeguide.com/star/80112/alniyat
46,46390,Alphard,Giant Star K3 II-III,177,https://www.universeguide.com/star/46390/alphard
47,76267,Alphecca,Main Sequence A0V,75,https://www.universeguide.com/star/76267/alphecca
48,677,Alpheratz,B8 IVp,97,https://www.universeguide.com/star/677/alpheratz
49,7097,Alpherg,Giant Star G8III,294,https://www.universeguide.com/star/7097/kullatnunu
50,83608,Alrakis,Multiple Star System F5,89,https://www.universeguide.com/star/83608/mudraconisb
51,9487,Alrescha,Variable Star A2,139,https://www.universeguide.com/star/9487/alrescha
52,86782,Alruba,Main Sequence A2V,457,https://www.universeguide.com/star/86782/alruba
53,96100,Alsafi,Main Sequence K0V,19,https://www.universeguide.com/star/96100/alsafi
54,41075,Alsciaukat,Giant Star K4.5 III,390,https://www.universeguide.com/star/41075/alsciaukat
55,42913,Alsephina,Main Sequence A1V/G0V,79.7,https://www.universeguide.com/star/42913/kooshe
56,98036,Alshain,Subgiant Star G8IVvar,45,https://www.universeguide.com/star/98036/alshain
57,100310,Alshat,Subgiant Star B9IV,272,https://www.universeguide.com/star/100310/alshat
58,97649,Altair,Subgiant Star A7V,16.73,https://www.universeguide.com/star/97649/altair
59,94376,Altais,Giant Star G9III,100,https://www.universeguide.com/star/94376/altais
60,46750,Alterf,Giant Star K5IIIvar,336,https://www.universeguide.com/star/46750/alterf
61,35904,Aludra,Supergiant Star B5Ia,2000,https://www.universeguide.com/star/35904/aludra
62,55203,Alula Australis,Spectroscopic Binary G0V,29,https://www.universeguide.com/star/55203/alulaaustralis
63,55219,Alula Borealis,Giant Star K3III SB,421,https://www.universeguide.com/star/55219/alulaborealis
64,92946,Alya,Main Sequence A5V,132,https://www.universeguide.com/star/92946/alya
65,32362,Alzirr,Subgiant Star F5 IV,58.7,https://www.universeguide.com/star/32362/alzirr
66,29550,Amadioha,Subgiant Star G8/K0 IV/V,203.6,https://www.universeguide.com/star/29550/hd43197
69,110003,Ancha,Giant Star K0III,191,https://www.universeguide.com/star/110003/ancha
70,13288,Angetenar,Giant Star K0III,183,https://www.universeguide.com/star/13288/angetenar
71,57820,Aniara,Giant Star K0III,395,https://www.universeguide.com/star/57820/hd102956
72,2081,Ankaa,Spectroscopic Binary K0.5IIIb,84.7,https://www.universeguide.com/star/2081/ankaa
73,95771,Anser,Variable Star M0 comp,291,https://www.universeguide.com/star/95771/lucidaanseris
74,80763,Antares,Main Sequence M1Ib + B2.5V,605,https://www.universeguide.com/star/80763/antares
75,72845,Arcalis,K0,432,https://www.universeguide.com/star/72845/arcalis
76,69673,Arcturus,Red Giant Branch Star K2III,36,https://www.universeguide.com/star/69673/arcturus
77,95294,Arkab Posterior,Giant Star F2III,139.5,https://www.universeguide.com/star/95294/arkabposterior
78,95241,Arkab Prior,B9V,378,https://pt.wikipedia.org/wiki/Beta1_Sagittarii
79,25985,Arneb,Supergiant Star F0Ib,2200,https://www.universeguide.com/star/25985/arneb
80,93506,Ascella,Subgiant Star A3IV,89,https://www.universeguide.com/star/93506/ascella
81,42911,Asellus Australis,Giant Star K0III,136,https://www.universeguide.com/star/42911/asellusaustralis
82,42806,Asellus Borealis,Subgiant Star A1IV,158,https://www.universeguide.com/star/42806/asellusborealis
83,43109,Ashlesha,Subgiant Star G0III-IV,135,https://www.universeguide.com/star/43109/ashlesha
84,45556,Aspidiske,Supergiant Star A8 Ib,690,https://www.universeguide.com/star/45556/aspidiske
85,17579,Asterope,Main Sequence B8 V,431,https://www.universeguide.com/star/17579/asteropei
87,80331,Athebyne,Giant Star G8 III,92.1,https://www.universeguide.com/star/80331/aldhibain
88,17448,Atik,Giant Star B1III,1475,https://www.universeguide.com/star/17448/atik
89,17847,Atlas,Spectroscopic Binary B8III,431,https://www.universeguide.com/star/17847/atlas
90,82273,Atria,Giant Star K2 IIb-IIIa,391,https://www.universeguide.com/star/82273/atria
91,41037,Avior,Main Sequence K3III+B2V,632,https://www.universeguide.com/star/41037/avior
